section_id,title,ROLE_01_ARCHITECT,ROLE_02_RESEARCHER,ROLE_03_ANALYST,ROLE_04_CRITIC,ROLE_05_SECURITY_AUDITOR,ROLE_06_IMPLEMENTER,ROLE_07_REFACTORER,ROLE_08_TESTER,ROLE_09_VERIFIER,ROLE_10_DOCUMENTATION_WRITER,ROLE_11_TEACHER,ROLE_12_PLANNER,ROLE_13_COORDINATOR,ROLE_14_OBSERVER,ROLE_15_MEMORY_CURATOR,ROLE_16_GOVERNANCE_REVIEWER,ROLE_17_RED_TEAM,ROLE_18_OPTIMIZER,ROLE_19_USER_EXPERIENCE_REVIEWER,ROLE_20_DECISION_ARBITER_ADVISORY,ROLE_21_GUIDEBOOK_ARCHITECT,specialist_expertise_cues_not_authority
011,Business Analysis,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,Primary roles:;target state;gaps;options;impacts;decision implications;regulatory;market;policy;source claims;states;events;handoffs;exceptions without unsupported causation;Common supporting roles:;boundaries;interfaces;authority flows;structural implications;journeys;language;accessibility;agency;recovery;decisions;dependencies;validation;handoff;business rules;decisions;change history;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;access;fraud;control;process-abuse risks;process gaming;hidden incentives;bypasses;harmful optimization;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
012,Market Research,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,Primary roles:;executes source-grounded market inquiry;evaluates source quality;comparison;uncertainty;sensitivity;decision analysis;limitations;Common supporting roles:;sampling;analysis;review;decision gates;research interaction;comprehension;accessibility;participant burden;definitions;source state;decisions;expiration;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;storage;access;reidentification;provider;leakage risk;category;sponsor;confirmation;survivorship;synthetic-evidence;market-size assumptions;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
013,Competitive Intelligence,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,Primary roles:;assesses lawful;traceable;current competitive sources;alternative explanation;scenario;strategic implication analysis;reviews collection boundaries;sensitive handling;prohibited access;Common supporting roles:;interfaces;dependencies;operational implications without assuming implementation parity;user control rather than screenshot similarity;changes with timestamps;provenance;monitoring history;decisions;superseded findings;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;deceptive claims;comparison bias;likely competitor response;internal overreaction;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
014,Stakeholder Management,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,Primary roles:;context;source evidence;engagement needs;impacts;power;conflict;obligations;decision implications;assignments;dependencies;commitments;escalation without becoming sovereign authority;Common supporting roles:;comprehension;accessibility;agency;consent;grievance paths;decisions;events;state transitions without unsupported interpretation;commitments;preferences;decisions;dissent;continuity with data minimization;records;decisions;public or internal communication artifacts;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;privacy;data handling;impersonation;communication;third-party risk;exclusion;coercion;dark patterns;hidden commitments;grievance suppression;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
015,User Research,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,Primary roles:;roles;examines complete journeys;accessibility;comprehension;agency;trust;failure;recovery;evidence-backed friction without inventing personas;method;source hierarchy;inclusion;exclusion;evidence quality;conflicting findings;uncertainty;traceable conclusions;events;states;timing;environment;gaps without assigning unsupported motive;cause;severity;or recommendation;Common supporting roles:;segments;contexts;alternatives;causes;tradeoffs;decision implications while disclosing sampling;measurement limits;sessions;analysis;validation;decision gates;data disposition;moderators;accessibility support;translators;reviewers while preserving provenance;participant protections;necessary;source-bound research memory with expiry;access;correction;deletion controls;owner materials without talking down to users or changing the research purpose;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;recordings;identities;access;provider use;reidentification;leakage;retention risk;selection bias;coercion;synthetic evidence;accessibility exclusion;privacy leakage;false validation;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
016,Domain Analysis,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,Primary roles:;differences;tradeoffs;causes;consequences;rules;uncertainty;decision-relevant domain findings;terminology;conflicting evidence;jurisdictions;time sensitivity;evidence gaps;responsibilities;interfaces;authority flows;trust boundaries;invariants;failure modes;implementation implications without treating diagrams as implementation;Common supporting roles:;states;transitions;decisions;measurements;exceptions;gaps before interpretation;model versions;provenance;decisions;disputes;expiry;retrievable continuity;authority;delegation;evidence;exceptions;policy sources are legitimate;enforceable;state are understandable;usable in complete human journeys;models;examples;decision tables;interface meaning;change records;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;identities;trust boundaries;abuse;information exposure;rule-enforcement risks;state transitions;rules;invariants;boundaries;exception paths;model-to-implementation traceability;authority confusion;impossible states;rule bypass;adversarial inputs;harmful edge cases;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
017,Feasibility Analysis,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,Primary roles:;sensitivity analysis;tradeoff analysis;evidence-proportionate conclusions;interfaces;trust boundaries;failure modes;implementation sequence;whether requirements map to realizable components;dependencies;resources;milestones;validation gates;contingencies;completion evidence without inventing capacity or deadlines;preserves disqualifying constraints;dissent;reversibility;residual uncertainty;Common supporting roles:;standards;laws;providers;costs;dependencies;time-sensitive evidence;workloads;environments;resource use;failures;operating conditions before interpretation;executes bounded prototypes;benchmarks;compatibility tests;failure tests;recovery tests;artifact identity;evidence integrity;reproducibility;whether demonstrated results support the stated conclusion;trust boundaries;identity;access;dependency;supply-chain;security-operability feasibility;authority;approvals;evidence thresholds;delegation;human decision boundaries;owners can understand;operate;recover;complete required journeys;safety;security;governance;accessibility;recovery;preserves conflicts;tracks dependencies;consolidates evidence without erasing dissent;Challenge roles where consequence warrants:;omitted costs;hidden dependencies;false equivalence;unsupported readiness;abuse;operational;model;human;environmental;failure-recovery assumptions;Role selection must use the smallest sufficient set;maintain independence between proposal;assurance where required;preserve every source-defined role contract unchanged
018,Risk Management,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,Primary roles:;consequences;uncertainty;comparative treatments;sensitivity;decision implications;tasks;dependencies;triggers;contingencies;validation gates;completion evidence;policy;scope;acceptance legitimacy;evidence;delegation;exceptions;trusted-state consequences;Specialist;assurance roles:;hazard;legal;regulatory;scientific;supplier;market;domain evidence;conditions;thresholds;incidents;near misses;control state;data gaps without unsupported interpretation;vulnerabilities;identity;access;supply chain;evidence integrity;control effectiveness;interface;trust-boundary;dependency;common-mode;recovery;lifecycle risks;cognitive load;accessibility;trust;consent;dark patterns;recovery;complete journeys;boundary behavior;failure;denial;recovery;rollback;monitoring;risk claims;control operation;residual-risk boundaries;acceptance conditions;bypasses;abuse paths;correlated failures;control evasion;optimistic residual-risk claims;missing requirements;false precision;unsupported ratings;omitted affected parties;decisions;evidence;expiry;supersession;incidents;lessons;reopening triggers;conflicts;dependencies;treatment status;consolidated reporting;Role selection must match the risk;consequence;use independent review where required;leave source-defined role contracts unchanged
019,Requirements Engineering,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,Primary roles:;relationships;conflicts;dependencies;alternatives;decision implications while separating evidence from interpretation;allocable;interface-aware;governable;recoverable;precedence;mandatory constraints;delegation;waivers;exceptions;status transitions;acceptance legitimacy;analysis;validation;baseline;change;verification work with owners;dependencies;gates;evidence;Evidence;human;domain roles:;legal;regulatory;scientific;market;supplier;domain evidence for requirements;constraints;accessibility;cognitive load;trust;consent;error;denial;correction;recovery requirements;state;events;workflows;gaps;operational conditions without unsupported interpretation;identity;authorization;data;supply-chain;evidence-integrity;abuse requirements;rationale;examples;decisions;version history;supersession;conflicts;decisions;change history;evidence;reopening triggers;Assurance;coordination roles:;preserves provenance;reconciles compatible outputs;surfaces conflicts;prevents parallel roles from silently producing different baselines;hidden assumptions;missing requirements;contradictions;implementation bias;false completeness;unsupported priority;identifies untestable statements;maintains coverage;defect linkage;source;quality;traceability;evidence;verification state;acceptance boundaries;omitted adversarial conditions;unsafe defaults;privilege assumptions;evidence manipulation;failure-recovery gaps;implementation-deviation evidence;must not alter requirements without authorization;Role selection must match the work;consequence;are not redefined by this section
020,Systems Engineering,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,define each assignment;preserve separation among analysis;execution;review;verification;decision;elements;interfaces;data;authority;trust;failure;recovery;verification paths from approved requirements;evaluates authoritative technical;operational;scientific;supplier;regulatory;lifecycle evidence;tradeoff;sensitivity;dependency;consequence;whole-system analysis without seizing decision authority;internal consistency;hidden assumptions;operational realism;interfaces;evidence;readiness claims;trust boundaries;identity;authorization;supply chain;runtime;evidence;recovery;security claims;integration;prototype;configuration;requirements;interfaces into reproducible normal;boundary;failure;recovery;compatibility;governance tests;version;environment;evidence limits;interface records;decisions;procedures;limitations;recovery;lifecycle documentation;dependencies;tradeoffs;evidence;operating procedures without replacing authority or qualified training;integration;verification;validation;transition;operation;maintenance;retirement work with explicit gates;dependencies;reconciles bounded specialist workstreams while preserving provenance;dissent;human authority;one coherent system result;events;measurements;transitions;anomalies;failures;evidence without unsupported interpretation;decisions;traceability;evidence;lessons;continuity under retention;access rules;scope;delegation;policy;evidence;approval;exception;transition compliance;interfaces;authority;failure paths;recovery;bypasses;human factors;readiness claims;regression guardrails;operator;maintainer;support;accessibility;failure;recovery;control journeys;constraints;evidence;sensitivity;reversibility;human approval boundaries
021,Enterprise Architecture,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,The existing source-defined roles apply without modification:;boundaries;components;interfaces;flows;alternatives;verification paths;market;supplier;regulatory;technical;organizational evidence;portfolio;cost;dependency;scenario;transition analysis;unsupported assumptions;hidden dependencies;identity;access;supply-chain;evidence;control boundaries;dependencies;gates;milestones;contingencies;handoffs;conflicts;provenance;operating evidence;changes;baseline identity;traceability;evidence sufficiency;policy;exception;conformance boundaries;accessibility;control;enterprise-operability impacts;authority are explicit;continuity;bypass;dependency;migration;recovery;governance assumptions
022,Solution Architecture,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,The existing source-defined roles apply without modification:;interfaces;flows;trust boundaries;alternatives;tradeoffs;sequencing;verification;technology;provider;compatibility;operational;regulatory evidence;workload;cost;complexity;risk;reversibility;sensitivity analysis;identity;authorization;secrets;supply chain;evidence;operational security;accessibility;comprehension;consequence;recovery;bypasses;failure paths;dependencies;readiness claims;migration;deployment;validation;rollback;recovery sequencing;contract;failure;recovery;claim-verification design;conflict preservation;policy;compliance;exception boundaries;continuity;authority
023,Systems Architecture,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,Primary roles:;Common supporting roles:;Challenge;assurance roles where consequence warrants:;Implementation remains separately authorized;scope;target;constraints
024,Domain Architecture,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,Primary roles:;Common supporting roles:;Challenge;assurance roles where consequence warrants:;The selected roles must operate within their existing contracts. Domain experts
025,Business Architecture,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,views;boundaries;interfaces;dependencies;authority;failure;recovery;verification path;assesses authoritative business;market;operational;regulatory;contractual;stakeholder evidence;target states;options;outcomes;costs;dependencies;risks;sensitivity to assumptions;hidden dependencies;incomplete stakeholder coverage;metric distortion;operating-model contradictions;identity;authority;supply-chain;information;partner;control implications;scenarios;controls;acceptance conditions;artifact identity;version;scope;completion boundaries;catalogs;decisions;glossary;traceability;operating guidance;modeling;decisions;experiments;transition;adoption;verification;recovery work;preserves provenance;reconciles compatible outputs;surfaces unresolved conflict;decisions;events;dependencies;workarounds;evidence without unsupported interpretation;decisions;source links;supersession;open questions;continuity;rule hierarchy;policy;exception;approval;safe-halt conditions;bypasses;hidden authority;concentration;transition;resilience;false-readiness claims;employee;operator;customer;user journeys remain understandable;accessible;controllable;recoverable;provides advisory recommendations unless explicit decision authority exists;Roles must be selected for the required function;given explicit assignments;inputs;authority;prohibited actions;outputs;evidence requirements;review gates;completion conditions. The role corpus remains unchanged
026,Capability Architecture,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,boundaries;dependencies;realization;interfaces;lifecycle;failure;recovery;verification;market;workforce;operational;supplier;regulatory;benchmark evidence;levels;gaps;dependencies;costs;benefits;risks;capacity;sensitivity;duplicate labels;unsupported maturity;hidden realization;weak measures;false readiness;authority;data;supply-chain;partner;resilience;security implications;conditions into scenarios;tests;acceptance criteria;coverage models;evidence;configuration identity;environment;demand;scope;catalogs;definitions;realization views;decisions;guidance;assessment;increments;investments;transitions;adoption;testing;retirement;dependencies;conflict;evidence;handoffs;synthesis;demand;performance;incidents;dependencies;workarounds;state;model versions;evidence;decisions;supersession;continuity;policy;obligations;exceptions;delegation;risk acceptance;safe-halt conditions;concentration;bypass;degradation;demand spikes;supplier failure;recovery;controls;or resilience;accessible;controllable;recoverable journeys;priorities against authorized criteria without assuming final authority;The existing role definitions remain controlling;are not redefined by this section
027,Process Architecture,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,responsibilities;dependencies;interfaces;controls;failure;recovery;implementation implications;domain;user;operational;policy;legal;supplier;current-state evidence;bottlenecks;variants;dependencies;tradeoffs;causes;consequences;outcome relationships;states;events;waits;handoffs;workarounds;exceptions without unsupported interpretation;design;validation;transition;adoption;review work with gates;evidence;participants;decisions;conflicts;handoffs without redefining the objective;hidden work;circular control;false simplicity;unsupported effectiveness;recovery gaps;policy;delegation;consent;exceptions;procedural compliance;evidence admissibility;privileged steps;data handling;abuse paths;evidence integrity;secure recovery;accessibility;burden;denial;correction;recovery;dignity;complete user or owner journeys;journeys into reproducible normal;boundary;failure;recovery;compatibility tests;versions;environments;methods;acceptance criteria;definitions;procedures;decisions;limitations;recovery instructions;versions;decisions;evidence;dissent;supersession;continuity;configuration;automation;code;or operational change without changing the process contract unilaterally;controls;authority;accessibility;resilience;handoffs;identity;evidence;denial;recovery;human oversight;are not redefined here
028,Functional Architecture,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,decomposition;contracts;allocations;dependencies;states;interfaces;failure;recovery;lifecycle implications;alternatives;completeness;feasibility;quality;dependencies;tradeoffs;consequences;domain;technical;human;operational;supplier;standard;current-behavior evidence;inputs;outputs;states;transitions;timings;failures;system signals without unsupported causation;allocation;prototyping;integration;verification;validation;transition;review work;resolves routing or provenance issues without seizing authority;hidden implementation bias;circular dependencies;false completeness;unsupported behavior;authorization;trust;data;control;abuse;evidence;security behavior at functional boundaries;owner;operator;maintainer;support;accessibility;explanation;correction;denial;recovery functions;boundary;failure;degraded;recovery;compatibility;security;accessibility;governance conditions;allocations;contracts;evidence;reproducibility;exact scope;models;contracts;decisions;assumptions;limitations;handoffs;traceability;versions;evidence;dissent;decisions;continuity;requirements precedence;mandatory constraints;delegation;exceptions;acceptance;status transitions;reports deviations rather than silently changing the functional baseline;acceptance boundaries;misuse;malformed input;privilege escalation;model manipulation;failure;recovery;evidence attacks;preserves owner decisions;Role selection must preserve independence between implementation
029,Operational Architecture,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,service boundaries;responsibilities;dependencies;controls;lifecycle implications;service behavior;incidents;tradeoffs;risk;operational evidence;work;signals;queues;failures;operator behavior;suppliers;support;incidents;changes;handoffs;deployment;transition;maintenance;recovery;retirement;trust boundaries;monitoring;abuse;secure recovery;commitments;exceptions;records;status claims;degradation;recovery;continuity scenarios;operational claims against exact evidence;operating concepts;records;handoffs;changes;incidents;evidence;continuity;missing ownership;unsafe defaults;false readiness;operator;support;accessibility;recovery journeys;reports deviations;abuse;failure;recovery boundaries
030,Information Architecture,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,relationships;ownership;flows;context;lifecycle;user;content;records;legal;accessibility;source evidence;structures;usage;findability;quality;impacts;navigation;search behavior;information use;taxonomies;metadata;content structures;explanations;findability;accessibility;language;burden;correction;classification;access;records;provenance;privacy;publication;trust boundaries;access;integrity;abuse paths;provenance;version;permission;reproducibility;hidden assumptions;duplicate meaning;false precision;exclusion;supersession;decisions;sources;continuity;controls without changing meaning unilaterally;search;labels;access;context;error;correction;lifecycle behavior
031,Data Architecture,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,ownership;flows;contracts;controls;lineage;lifecycle;quality;dependencies;transformations;tradeoffs;impact;domain;legal;user;operational;data-use evidence;flows;failures;quality;user or system effects;authority;access;retention;records;privacy;policy;integrity;identity;access;secrets;abuse;recovery;quality;contracts;controls;evidence;quality;access;migration;deletion;recovery;compatibility behavior;dictionaries;catalogs;contracts;evidence records;transformations;versions;decisions;continuity;missing lineage;hidden copies;biased samples;unowned quality;pipelines;controls;migrations;cost without weakening meaning;quality;rights;or controls;poisoning;corruption;bypass;re-identification;deletion failures
032,Application Architecture,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,responsibilities;interfaces;dependencies;state;deployment;lifecycle;alternatives;dependencies;cost;risk;impacts;domain;technical;operational;supplier;current-state evidence;reports deviations;behavior;workflows;failure;security;accessibility;performance;recovery;compatibility;versions;configurations;evidence;acceptance;authorization;secrets;dependencies;data;attack surface;recovery;operator;accessibility;explanation;correction;recovery journeys;release;records;licensing;risk;status;implementation;integration;transition;support;retirement;contracts;runbooks;decisions;limitations;dependencies;decisions;evidence;continuity;hidden coupling;false completeness;unsupported claims;integration;privilege;failure;recovery paths
033,Software Architecture,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,Role selection is proportional to consequence;existing role contracts remain controlling
034,Platform Architecture,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,
035,Infrastructure Architecture,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,
036,Cloud Architecture,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,
037,Edge Architecture,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,Safety Auditor
038,Distributed Systems Architecture,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,
039,Network Architecture,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,
040,Communications Architecture,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,
041,Integration Architecture,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,
